Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
370192,NORTHWEST SURGICAL HOSPITAL,9204 NORTH MAY AVENUE,NULL,NULL,OKLAHOMA CITY,OK,73120,OKLAHOMA,4048481918,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370199,LAKESIDE WOMEN'S HOSPITAL,11200 NORTH PORTLAND AVENUE,NULL,NULL,OKLAHOMA CITY,OK,73120,OKLAHOMA,4059361500,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370201,SURGICAL HOSPITAL OF OKLAHOMA,100 SOUTHEAST 59TH STREET,NULL,NULL,OKLAHOMA CITY,OK,73129,OKLAHOMA,4056349300,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370202,SOUTHCREST HOSPITAL,8801 SOUTH 101ST EAST AVENUE,NULL,NULL,TULSA,OK,74133,TULSA,9182944000,15.8,No Different than U.S. National Rate,12.1,20.3,  145,,11.6,No Different than U.S. National Rate,8.9,15.4,  229,,14.0,No Different than U.S. National Rate,10.6,18.2,  234,,17.9,No Different than U.S. National Rate,14.9,21.5,  159,,23.7,No Different than U.S. National Rate,20.4,27.5,  300,,20.2,No Different than U.S. National Rate,16.8,24.0,  268,
370203,COMMUNITY HOSPITAL,3100 SOUTHWEST 89TH STREET,NULL,NULL,OKLAHOMA CITY,OK,73159,OKLAHOMA,4056028100,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    4,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    9,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    4,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    9,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>
370206,OKLAHOMA SPINE HOSPITAL,14101 PARKWAY COMMONS DRIVE,NULL,NULL,OKLAHOMA CITY,OK,73134,OKLAHOMA,4057492700,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370210,"OKLAHOMA SURGICAL HOSPITAL, LLC","2408 EAST 81ST STREET, SUITE 300",NULL,NULL,TULSA,OK,74137,TULSA,9184775000,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370211,INTEGRIS CANADIAN VALLEY  HOSPITAL,1201 HEALTH CENTER PARKWAY,NULL,NULL,YUKON,OK,73099,CANADIAN,4057177999,NULL,Number of Cases Too Small,NULL,NULL,   24,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>, 9.9,No Different than U.S. National Rate,7.1,13.3,   78,,10.5,No Different than U.S. National Rate,7.8,13.9,  192,,NULL,Number of Cases Too Small,NULL,NULL,   10,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.3,No Different than U.S. National Rate,21.1,30.1,   99,,19.5,No Different than U.S. National Rate,16.1,23.3,  206,
370212,OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,330 SOUTHWEST 80TH STREET,NULL,NULL,OKLAHOMA CITY,OK,73139,CLEVELAND,4056026500,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370214,LINDSAY MUNICIPAL HOSPITAL,HIGHWAY 19 WEST,NULL,NULL,LINDSAY,OK,73052,GARVIN,4057561404,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    4,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   16,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    7,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   18,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>
370215,OKLAHOMA HEART HOSPITAL,4050 WEST MEMORIAL ROAD,NULL,NULL,OKLAHOMA CITY,OK,73120,OKLAHOMA,4056083200,14.7,No Different than U.S. National Rate,12.5,17.2,  815,, 8.8,Better than U.S. National Rate,6.9,11.0,  524,,10.9,No Different than U.S. National Rate,7.3,15.7,   74,,19.8,No Different than U.S. National Rate,17.7,22.1, 1129,,24.7,No Different than U.S. National Rate,22.1,27.4,  878,,18.6,No Different than U.S. National Rate,14.8,22.9,   79,
370216,TULSA SPINE & SPECIALTY HOSPITAL,6901 SOUTH OLYMPIA AVENUE,NULL,NULL,TULSA,OK,74132,TULSA,9183885701,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>
370218,SAINT FRANCIS HOSPITAL SOUTH,10501 EAST 91ST STREET SOUTH,NULL,NULL,TULSA,OK,74133,TULSA,9183076000,14.6,No Different than U.S. National Rate,11.0,19.3,  122,,10.3,No Different than U.S. National Rate,7.4,14.4,  100,,11.3,No Different than U.S. National Rate,7.9,15.9,   74,,20.2,No Different than U.S. National Rate,16.8,24.4,  155,,23.6,No Different than U.S. National Rate,19.5,28.3,  151,,18.4,No Different than U.S. National Rate,14.6,22.8,   86,
370220,ORTHOPEDIC HOSPITAL,"1044 SOUTHWEST 44TH STREET, SUITE 950",NULL,NULL,OKLAHOMA CITY,OK,73109,OKLAHOMA,4056313085,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370222,"MCBRIDE CLINIC ORTHOPEDIC HOSPITAL,  L L C",9600 NORTH BROADWAY EXTENSION,NULL,NULL,OKLAHOMA CITY,OK,73114,OKLAHOMA,4054781717,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370225,SUMMIT MEDICAL CENTER,1800 SOUTH RENAISSANCE BOULEVARD,NULL,NULL,EDMOND,OK,73034,OKLAHOMA,4053592400,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370227,ST JOHN OWASSO,12451 EAST 100TH STREET NORTH,NULL,NULL,OWASSO,OK,74055,TULSA,9182745000,NULL,Number of Cases Too Small,NULL,NULL,   13,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.2,No Different than U.S. National Rate,6.9,14.7,   34,,10.1,No Different than U.S. National Rate,7.1,14.4,   95,,NULL,Number of Cases Too Small,NULL,NULL,   10,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.9,No Different than U.S. National Rate,20.2,30.7,   43,,18.6,No Different than U.S. National Rate,14.8,23.1,  106,
370228,"BAILEY MEDICAL CENTER, L L C",10502 NORTH 110TH EAST AVENUE,NULL,NULL,OWASSO,OK,74055,TULSA,9183768000,NULL,Number of Cases Too Small,NULL,NULL,   13,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.4,No Different than U.S. National Rate,7.1,15.1,   33,,13.4,No Different than U.S. National Rate,9.1,19.2,   51,,NULL,Number of Cases Too Small,NULL,NULL,   11,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.8,No Different than U.S. National Rate,18.9,29.6,   39,,17.4,No Different than U.S. National Rate,13.5,22.0,   58,
370229,INTEGRIS SEMINOLE MEDICAL CENTER,2401 WRANGLER BOULEVARD,NULL,NULL,SEMINOLE,OK,74868,SEMINOLE,4053034000,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   17,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.4,No Different than U.S. National Rate,7.8,15.9,   48,,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,   21,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,17.1,No Different than U.S. National Rate,13.3,21.7,   46,
370232,MUSKOGEE COMMUNITY HOSPITAL,2900 NORTH MAIN STREET,NULL,NULL,MUSKOGEE,OK,74402,MUSKOGEE,9186877777,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370233,"NORTHEAST OKLAHOMA EYE INSTITUTE, LLC","2408 EAST 81ST STREET, SUITE 600",NULL,NULL,TULSA,OK,74137,TULSA,9183922780,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
370234,OKLAHOMA HEART HOSPITAL SOUTH,5200 EAST I-240 SERVICE ROAD,NULL,NULL,OKLAHOMA CITY,OK,73135,OKLAHOMA,4056286000,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
371300,ATOKA MEMORIAL HOSPITAL,1200 WEST LIBERTY ROAD,NULL,NULL,ATOKA,OK,74525,ATOKA,5808893333,NULL,Number of Cases Too Small,NULL,NULL,    6,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.5,No Different than U.S. National Rate,8.0,16.2,   33,,11.2,No Different than U.S. National Rate,7.8,15.7,   76,,NULL,Number of Cases Too Small,NULL,NULL,    6,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.9,No Different than U.S. National Rate,20.3,30.4,   46,,18.3,No Different than U.S. National Rate,14.5,22.8,   93,
371301,PRAGUE COMMUNITY HOSPITAL,1322 KLABSUBA AVENUE,NULL,NULL,PRAGUE,OK,74864,LINCOLN,4055674922,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   20,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,13.8,No Different than U.S. National Rate,9.6,19.8,   47,,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.0,No Different than U.S. National Rate,18.9,29.8,   26,,18.3,No Different than U.S. National Rate,14.4,23.3,   52,
371302,WATONGA MUNICIPAL HOSPITAL,500 NORTH CLARENCE NASH BOULEVARD,NULL,NULL,WATONGA,OK,73772,BLAINE,5806237211,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   18,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,13.1,No Different than U.S. National Rate,9.1,18.1,   66,,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,23.9,No Different than U.S. National Rate,18.9,29.4,   27,,19.4,No Different than U.S. National Rate,15.4,24.5,   72,
371304,JOHNSTON MEMORIAL HOSPITAL,1000 SOUTH BYRD,NULL,NULL,TISHOMINGO,OK,73460,JOHNSTON,5803712327,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,10.4,No Different than U.S. National Rate,7.2,14.5,   26,,12.3,No Different than U.S. National Rate,8.4,17.5,   54,,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.1,No Different than U.S. National Rate,20.3,30.9,   34,,19.1,No Different than U.S. National Rate,15.2,23.8,   58,
371306,MERCY HEALTH LOVE COUNTY,300 WANDA STREET,NULL,NULL,MARIETTA,OK,73448,LOVE,5802763347,NULL,Number of Cases Too Small,NULL,NULL,    9,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   24,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,12.7,No Different than U.S. National Rate,9.1,17.4,   67,,NULL,Number of Cases Too Small,NULL,NULL,    5,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   23,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,17.1,No Different than U.S. National Rate,13.5,21.5,   73,
371307,CIMARRON MEMORIAL HOSPITAL,100 SOUTH ELLIS,NULL,NULL,BOISE CITY,OK,73933,CIMARRON,5805442501,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   17,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.5,No Different than U.S. National Rate,7.5,16.7,   34,,NULL,Number of Cases Too Small,NULL,NULL,    1,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   24,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,18.2,No Different than U.S. National Rate,14.3,23.0,   38,
371309,"PAWHUSKA HOSPITAL, INC",1101 EAST 15TH STREET,NULL,NULL,PAWHUSKA,OK,74056,OSAGE,9182873232,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    2,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   16,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   18,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>
